id,title,description,image_link,link,product_type,brand,price,availability,item_group_id,checkout_url,additional_image_link,sale_price_effective_date,sale_price,condition,visibility,default_product,variant
wc_post_id_2364,"Membership Fee","Membership Fee",https://edgg7es7-staging.dreamwp.com/wp-content/uploads/2020/06/id.jpeg,https://edgg7es7-staging.dreamwp.com/product/membership-fee/,"Membership Fee","SkinRx",1500PHP,in stock,wc_post_id_2364,https://edgg7es7-staging.dreamwp.com/cart/?add-to-cart=2364,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,1500PHP,new,published,,
wc_post_id_2354,"Anti-hair fall solution","Anti-hair fall solution",https://placeholdit.imgix.net/~text?txtsize=33&name=Anti-hair%20fall%20solution&w=530&h=530,https://edgg7es7-staging.dreamwp.com/product/anti-hair-fall-solution/,"Skin Care","SkinRx",750PHP,in stock,wc_post_id_2354,https://edgg7es7-staging.dreamwp.com/cart/?add-to-cart=2354,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,750PHP,new,published,,
wc_post_id_2349,"Healing cream","Healing cream",https://placeholdit.imgix.net/~text?txtsize=33&name=Healing%20cream&w=530&h=530,https://edgg7es7-staging.dreamwp.com/product/healing-cream/,"Skin Care","SkinRx",575PHP,in stock,wc_post_id_2349,https://edgg7es7-staging.dreamwp.com/cart/?add-to-cart=2349,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,575PHP,new,published,,
wc_post_id_2351,"Ultra Bleaching Gel","Ultra Bleaching Gel",https://placeholdit.imgix.net/~text?txtsize=33&name=Ultra%20Bleaching%20Gel&w=530&h=530,https://edgg7es7-staging.dreamwp.com/product/ultra-bleaching-gel/,"Skin Care","SkinRx",1500PHP,in stock,wc_post_id_2351,https://edgg7es7-staging.dreamwp.com/cart/?add-to-cart=2351,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,1500PHP,new,published,,
wc_post_id_2352,"Glazy Gel with Triple Ageless Formula","Glazy Gel with Triple Ageless Formula",https://placeholdit.imgix.net/~text?txtsize=33&name=Glazy%20Gel%20with%20Triple%20Ageless%20Formula&w=530&h=530,https://edgg7es7-staging.dreamwp.com/product/glazy-gel-with-triple-ageless-formula/,"Skin Care","SkinRx",1500PHP,in stock,wc_post_id_2352,https://edgg7es7-staging.dreamwp.com/cart/?add-to-cart=2352,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,1500PHP,new,published,,
wc_post_id_2353,"Anti-Pimple Solution","Anti-Pimple Solution",https://placeholdit.imgix.net/~text?txtsize=33&name=Anti-Pimple%20Solution&w=530&h=530,https://edgg7es7-staging.dreamwp.com/product/anti-pimple-solution/,"Skin Care","SkinRx",750PHP,in stock,wc_post_id_2353,https://edgg7es7-staging.dreamwp.com/cart/?add-to-cart=2353,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,750PHP,new,published,,
wc_post_id_2350,"healing ointment","healing ointment",https://placeholdit.imgix.net/~text?txtsize=33&name=healing%20ointment&w=530&h=530,https://edgg7es7-staging.dreamwp.com/product/healing-ointment/,"Skin Care","SkinRx",575PHP,in stock,wc_post_id_2350,https://edgg7es7-staging.dreamwp.com/cart/?add-to-cart=2350,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,575PHP,new,published,,
wc_post_id_2348,"Rejuvenating cream","Rejuvenating cream",https://placeholdit.imgix.net/~text?txtsize=33&name=Rejuvenating%20cream&w=530&h=530,https://edgg7es7-staging.dreamwp.com/product/rejuvenating-cream/,"Skin Care","SkinRx",575PHP,in stock,wc_post_id_2348,https://edgg7es7-staging.dreamwp.com/cart/?add-to-cart=2348,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,575PHP,new,published,,
wc_post_id_2105,"C.C 12 in 1","C.C 12 in 1",https://edgg7es7-staging.dreamwp.com/wp-content/uploads/2020/06/CC12n1-1.jpg,https://edgg7es7-staging.dreamwp.com/product/c-c-12-in-1/,"Cosmetics","SkinRx",1PHP,in stock,wc_post_id_2105,https://edgg7es7-staging.dreamwp.com/cart/?add-to-cart=2105,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,1PHP,new,published,,
wc_post_id_2101,"B.T.LA C.C Cream","BTLA: Anti-aging Cream",https://edgg7es7-staging.dreamwp.com/wp-content/uploads/2020/06/BTLA-Cream1.jpg,https://edgg7es7-staging.dreamwp.com/product/b-t-la-c-c-cream/?attribute_pa_btla=anti-aging,"Cosmetics","SkinRx",350PHP,in stock,wc_post_id_2088,https://edgg7es7-staging.dreamwp.com/cart/?add-to-cart=2088&variation_id=2101&attribute_pa_btla=anti-aging,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,350PHP,new,published,default,"btla:Anti-aging Cream/Lightening Cream:Anti-aging Cream"
wc_post_id_2102,"B.T.LA C.C Cream","BTLA: Lightening Cream",https://edgg7es7-staging.dreamwp.com/wp-content/uploads/2020/06/BTLA-Cream1.jpg,https://edgg7es7-staging.dreamwp.com/product/b-t-la-c-c-cream/?attribute_pa_btla=lightening-cream,"Cosmetics","SkinRx",350PHP,in stock,wc_post_id_2088,https://edgg7es7-staging.dreamwp.com/cart/?add-to-cart=2088&variation_id=2102&attribute_pa_btla=lightening-cream,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,350PHP,new,published,,"btla:Anti-aging Cream/Lightening Cream:Lightening Cream"
wc_post_id_2085,"Eyebrow Liner","Eyebrow Liner",https://placeholdit.imgix.net/~text?txtsize=33&name=Eyebrow%20Liner&w=530&h=530,https://edgg7es7-staging.dreamwp.com/product/eyebro-liner/,"Cosmetics","SkinRx",1PHP,in stock,wc_post_id_2085,https://edgg7es7-staging.dreamwp.com/cart/?add-to-cart=2085,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,1PHP,new,published,,
wc_post_id_2086,"Eyeliner","Eyeliner",https://edgg7es7-staging.dreamwp.com/wp-content/uploads/2020/06/eyeliner_320x240.jpg,https://edgg7es7-staging.dreamwp.com/product/eyeliner/,"Cosmetics","SkinRx",1PHP,in stock,wc_post_id_2086,https://edgg7es7-staging.dreamwp.com/cart/?add-to-cart=2086,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,1PHP,new,published,,
